study_slug,testament,book,chapter,study_passages,matched_reading_ref,identity_key,occasion_id,occasion_short_label,collection_type,season,service,hour,slot,bridge_basis,confidence,status,attesting_edition,hour_theme,homily_ref,occurrence_count_for_this_passage
deuteronomy-16-feasts-justice-and-the-joy-of-worship,Old Testament,Deuteronomy,16,Deuteronomy 16,Deut 16:1-18,rid_3923278f36a95bbbdc5f,pentecost-prostration,pentecost_prostration,,Holy Fifty Days,main_readings,,main_readings,missing,,current_public_or_local_reference,local package snapshot,,,1
deuteronomy-32-the-song-of-moses,Old Testament,Deuteronomy,32,Deuteronomy 32,Deut 32:1-42,rid_8ae616e6b96572e37bd9,praises-of-the-prophets,PRAISES OF THE PROPHETS,,Pascha / Holy Week,Midnight Praises,,Second Praise of Moses,missing,,current_public_or_local_reference,local package snapshot,,,1
deuteronomy-5-the-covenant-at-horeb-and-the-ten-words,Old Testament,Deuteronomy,5,Deuteronomy 5,Deut 5:15-22,rid_73867cf985f949b0b374,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
deuteronomy-5-the-covenant-at-horeb-and-the-ten-words,Old Testament,Deuteronomy,5,Deuteronomy 5,Deut 5:23-33,rid_9111147cda9163b90192,pentecost-prostration,pentecost_prostration,,Holy Fifty Days,main_readings,,main_readings,missing,,current_public_or_local_reference,local package snapshot,,,1
deuteronomy-6-the-shema-and-the-love-of-god,Old Testament,Deuteronomy,6,Deuteronomy 6,Deut 6:17-25,rid_88ecadff9e5a1f8d59e6,pentecost-prostration,pentecost_prostration,,Holy Fifty Days,main_readings,,main_readings,missing,,current_public_or_local_reference,local package snapshot,,,1
deuteronomy-6-the-shema-and-the-love-of-god,Old Testament,Deuteronomy,6,Deuteronomy 6,Deut 6:1-3,rid_b5b4909a21119bfc49a2,pentecost-prostration,pentecost_prostration,,Holy Fifty Days,main_readings,,main_readings,missing,,current_public_or_local_reference,local package snapshot,,,1
deuteronomy-6-the-shema-and-the-love-of-god,Old Testament,Deuteronomy,6,Deuteronomy 6,Deut 6:3-25,rid_eb7748ea7857ffaca8f5,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
deuteronomy-7-a-holy-people-and-a-jealous-love,Old Testament,Deuteronomy,7,Deuteronomy 7,Deut 7:1-26,rid_05f05fdf49d31702ac85,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
deuteronomy-8-remembering-the-lord-in-the-land-of-plenty,Old Testament,Deuteronomy,8,Deuteronomy 8,Deut 8:19-9:24,rid_0081650c21f311321b1f,good-friday,Good Friday,,Pascha / Holy Week,First Hour,First Hour,OT1,missing,,current_working_source_not_coptic_reader_checked,local repo snapshot of pierresaid Katameros API SQLite database,the beginning of the day and watchfulness,,1
deuteronomy-8-remembering-the-lord-in-the-land-of-plenty,Old Testament,Deuteronomy,8,Deuteronomy 8,Deut 8:11-20,rid_4cb85af8725a70ba58e7,tuesday,Tuesday,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,missing,,historical_witness,"Lent 1734 A.M., 2018 A.D. eBook extracted text",the descent of the Holy Spirit and the trial of the heart,,1
deuteronomy-8-remembering-the-lord-in-the-land-of-plenty,Old Testament,Deuteronomy,8,Deuteronomy 8,Deut 8:1-20,rid_76e296101ecb47e9bd50,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
deuteronomy-9-10-stubbornness-intercession-and-the-circumcised-heart,Old Testament,Deuteronomy,9,Deuteronomy 9; Deuteronomy 10,Deut 8:19-9:24,rid_0081650c21f311321b1f,good-friday,Good Friday,,Pascha / Holy Week,First Hour,First Hour,OT1,missing,,current_working_source_not_coptic_reader_checked,local repo snapshot of pierresaid Katameros API SQLite database,the beginning of the day and watchfulness,,1
