reason,study_slug,identity_key,matched_reading_ref,occasion_id,occasion_short_label,bridge_basis,confidence,season,service,hour,slot,source_locator
missing or inferred bridge_basis,amos-5-seek-me-and-live,rid_c73b635100bd6b70fcc0,Amos 5:6-14,monday-eve,Monday Eve,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,OT1,out/data/pascha_day_hour_index.csv:row 26; source_ref=Amos 5:6-14
no source for link,amos-5-seek-me-and-live,rid_c73b635100bd6b70fcc0,Amos 5:6-14,monday-eve,Monday Eve,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,OT1,out/data/pascha_day_hour_index.csv:row 26; source_ref=Amos 5:6-14
missing or inferred bridge_basis,amos-5-seek-me-and-live,rid_c73b635100bd6b70fcc0,Amos 5:6-14,tuesday-eve,Tuesday Eve,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,OT1,out/data/pascha_day_hour_index.csv:row 26; source_ref=Amos 5:6-14
no source for link,amos-5-seek-me-and-live,rid_c73b635100bd6b70fcc0,Amos 5:6-14,tuesday-eve,Tuesday Eve,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,OT1,out/data/pascha_day_hour_index.csv:row 26; source_ref=Amos 5:6-14
missing or inferred bridge_basis,amos-7-8-visions-and-famine-of-the-word,rid_30b1ce8f518a66a02e22,Amos 8:9-12,good-friday,Good Friday,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,OT4,out/data/pascha_day_hour_index.csv:row 145; source_ref=Amos 8:9-12
no source for link,amos-7-8-visions-and-famine-of-the-word,rid_30b1ce8f518a66a02e22,Amos 8:9-12,good-friday,Good Friday,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,OT4,out/data/pascha_day_hour_index.csv:row 145; source_ref=Amos 8:9-12
missing or inferred bridge_basis,amos-9-sifted-people-and-restored-booth-of-david,rid_027380b484c903e50881,"Amos 9:4-5,9:7-10",good-friday,Good Friday,missing,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,"out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 14547; source_ref=Amos 9:4-5,9:7-10"
no source for link,amos-9-sifted-people-and-restored-booth-of-david,rid_027380b484c903e50881,"Amos 9:4-5,9:7-10",good-friday,Good Friday,missing,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,"out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 14547; source_ref=Amos 9:4-5,9:7-10"
missing or inferred bridge_basis,amos-9-sifted-people-and-restored-booth-of-david,rid_37d3df227f76d85086d8,Amos 9:8-10,good-friday,Good Friday,missing,,Pascha / Holy Week,Third Hour,Third Hour,OT5,out/data/pascha_day_hour_index.csv:row 139; source_ref=Amos 9:4-6; Amos 9:8-10
no source for link,amos-9-sifted-people-and-restored-booth-of-david,rid_37d3df227f76d85086d8,Amos 9:8-10,good-friday,Good Friday,missing,,Pascha / Holy Week,Third Hour,Third Hour,OT5,out/data/pascha_day_hour_index.csv:row 139; source_ref=Amos 9:4-6; Amos 9:8-10
missing or inferred bridge_basis,amos-9-sifted-people-and-restored-booth-of-david,rid_71b6ff712e8b6696be78,Amos 9:4-6,good-friday,Good Friday,missing,,Pascha / Holy Week,Third Hour,Third Hour,OT5,out/data/pascha_day_hour_index.csv:row 139; source_ref=Amos 9:4-6; Amos 9:8-10
no source for link,amos-9-sifted-people-and-restored-booth-of-david,rid_71b6ff712e8b6696be78,Amos 9:4-6,good-friday,Good Friday,missing,,Pascha / Holy Week,Third Hour,Third Hour,OT5,out/data/pascha_day_hour_index.csv:row 139; source_ref=Amos 9:4-6; Amos 9:8-10
missing or inferred bridge_basis,baruch-1-2-confession-in-exile,rid_e0586304d8ad566c6c0a,Bar 2:11-16,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of Baruch,out/data/bright_saturday_service_order.csv:row 14; source_ref=Baruch 2:11-16
no source for link,baruch-1-2-confession-in-exile,rid_e0586304d8ad566c6c0a,Bar 2:11-16,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of Baruch,out/data/bright_saturday_service_order.csv:row 14; source_ref=Baruch 2:11-16
missing or inferred bridge_basis,baruch-overview,rid_e0586304d8ad566c6c0a,Bar 2:11-16,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of Baruch,out/data/bright_saturday_service_order.csv:row 14; source_ref=Baruch 2:11-16
no source for link,baruch-overview,rid_e0586304d8ad566c6c0a,Bar 2:11-16,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of Baruch,out/data/bright_saturday_service_order.csv:row 14; source_ref=Baruch 2:11-16
missing or inferred bridge_basis,daniel-1-holy-refusal-in-babylon,rid_eddd1df0f4015a64ac5c,Dan 1:1-42,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5357; source_ref=Dan 1:1-42
missing or inferred bridge_basis,daniel-3-the-fiery-furnace-and-the-three-holy-youths,rid_48ef963652e2632b596b,Dan 3:1-23,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Vision of Daniel – Three Youth in the Fiery Furnace,out/data/bright_saturday_service_order.csv:row 19; source_ref=Daniel 3:1-23
