reason,study_slug,identity_key,matched_reading_ref,occasion_id,occasion_short_label,bridge_basis,confidence,season,service,hour,slot,source_locator
no source for link,daniel-3-the-fiery-furnace-and-the-three-holy-youths,rid_48ef963652e2632b596b,Dan 3:1-23,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Vision of Daniel – Three Youth in the Fiery Furnace,out/data/bright_saturday_service_order.csv:row 19; source_ref=Daniel 3:1-23
missing or inferred bridge_basis,daniel-3-the-fiery-furnace-and-the-three-holy-youths,rid_990f4c692fe3f22a1d39,Dan 3:25-51,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of Azariah (Part 1),out/data/bright_saturday_service_order.csv:row 20; source_ref=Daniel 3:25-51
no source for link,daniel-3-the-fiery-furnace-and-the-three-holy-youths,rid_990f4c692fe3f22a1d39,Dan 3:25-51,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of Azariah (Part 1),out/data/bright_saturday_service_order.csv:row 20; source_ref=Daniel 3:25-51
missing or inferred bridge_basis,daniel-6-daniel-in-the-lions-den,rid_7c7a013d759268b5e803,Dan 6:1-27,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5345; source_ref=Dan 6:1-27
missing or inferred bridge_basis,daniel-7-ancient-of-days-and-the-son-of-man,rid_25c8c5d637c93bd11dcb,Dan 7:9-15,tuesday,Tuesday,missing,,Pascha / Holy Week,Ninth Hour,Ninth Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 5753; source_ref=Dan 7:9-15
no source for link,daniel-7-ancient-of-days-and-the-son-of-man,rid_25c8c5d637c93bd11dcb,Dan 7:9-15,tuesday,Tuesday,missing,,Pascha / Holy Week,Ninth Hour,Ninth Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 5753; source_ref=Dan 7:9-15
missing or inferred bridge_basis,daniel-9-confession-and-the-seventy-weeks,rid_c5b80ec460797376e7e0,Dan 9:4-19,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of Daniel,out/data/bright_saturday_service_order.csv:row 18; source_ref=Daniel 9:4-19
no source for link,daniel-9-confession-and-the-seventy-weeks,rid_c5b80ec460797376e7e0,Dan 9:4-19,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of Daniel,out/data/bright_saturday_service_order.csv:row 18; source_ref=Daniel 9:4-19
missing or inferred bridge_basis,deuteronomy-11-love-obedience-blessing-and-curse,rid_a16bf039ffefa9a6b027,Deut 11:1-28,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5354; source_ref=Deut 11:1-28
missing or inferred bridge_basis,deuteronomy-11-love-obedience-blessing-and-curse,rid_f92e948424606dabd5ff,Deut 11:29-32,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5445; source_ref=Deut 11:29-32
missing or inferred bridge_basis,deuteronomy-12-the-place-where-the-lord-chooses-to-dwell,rid_b3ffa1ce6982c17872a2,Deut 12:1-27,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5446; source_ref=Deut 12:1-27
missing or inferred bridge_basis,deuteronomy-16-feasts-justice-and-the-joy-of-worship,rid_3923278f36a95bbbdc5f,Deut 16:1-18,pentecost-prostration,pentecost_prostration,missing,,Holy Fifty Days,main_readings,,main_readings,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf; build_special_service_reference.py curated rows:row 123; source_ref=Deut 16:1-18
no source for link,deuteronomy-16-feasts-justice-and-the-joy-of-worship,rid_3923278f36a95bbbdc5f,Deut 16:1-18,pentecost-prostration,pentecost_prostration,missing,,Holy Fifty Days,main_readings,,main_readings,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf; build_special_service_reference.py curated rows:row 123; source_ref=Deut 16:1-18
missing or inferred bridge_basis,deuteronomy-32-the-song-of-moses,rid_8ae616e6b96572e37bd9,Deut 32:1-42,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Second Praise of Moses,out/data/bright_saturday_service_order.csv:row 4; source_ref=Deuteronomy 32:1-42
no source for link,deuteronomy-32-the-song-of-moses,rid_8ae616e6b96572e37bd9,Deut 32:1-42,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Second Praise of Moses,out/data/bright_saturday_service_order.csv:row 4; source_ref=Deuteronomy 32:1-42
missing or inferred bridge_basis,deuteronomy-5-the-covenant-at-horeb-and-the-ten-words,rid_73867cf985f949b0b374,Deut 5:15-22,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5178; source_ref=Deut 5:15-22
missing or inferred bridge_basis,deuteronomy-5-the-covenant-at-horeb-and-the-ten-words,rid_9111147cda9163b90192,Deut 5:23-33,pentecost-prostration,pentecost_prostration,missing,,Holy Fifty Days,main_readings,,main_readings,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf; build_special_service_reference.py curated rows:row 112; source_ref=Deut 5:23-33
no source for link,deuteronomy-5-the-covenant-at-horeb-and-the-ten-words,rid_9111147cda9163b90192,Deut 5:23-33,pentecost-prostration,pentecost_prostration,missing,,Holy Fifty Days,main_readings,,main_readings,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf; build_special_service_reference.py curated rows:row 112; source_ref=Deut 5:23-33
missing or inferred bridge_basis,deuteronomy-6-the-shema-and-the-love-of-god,rid_88ecadff9e5a1f8d59e6,Deut 6:17-25,pentecost-prostration,pentecost_prostration,missing,,Holy Fifty Days,main_readings,,main_readings,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf; build_special_service_reference.py curated rows:row 119; source_ref=Deut 6:17-25
no source for link,deuteronomy-6-the-shema-and-the-love-of-god,rid_88ecadff9e5a1f8d59e6,Deut 6:17-25,pentecost-prostration,pentecost_prostration,missing,,Holy Fifty Days,main_readings,,main_readings,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf; build_special_service_reference.py curated rows:row 119; source_ref=Deut 6:17-25
missing or inferred bridge_basis,deuteronomy-6-the-shema-and-the-love-of-god,rid_b5b4909a21119bfc49a2,Deut 6:1-3,pentecost-prostration,pentecost_prostration,missing,,Holy Fifty Days,main_readings,,main_readings,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf; build_special_service_reference.py curated rows:row 113; source_ref=Deut 6:1-3
no source for link,deuteronomy-6-the-shema-and-the-love-of-god,rid_b5b4909a21119bfc49a2,Deut 6:1-3,pentecost-prostration,pentecost_prostration,missing,,Holy Fifty Days,main_readings,,main_readings,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf; build_special_service_reference.py curated rows:row 113; source_ref=Deut 6:1-3
missing or inferred bridge_basis,deuteronomy-6-the-shema-and-the-love-of-god,rid_eb7748ea7857ffaca8f5,Deut 6:3-25,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5120; source_ref=Deut 6:3-25
missing or inferred bridge_basis,deuteronomy-7-a-holy-people-and-a-jealous-love,rid_05f05fdf49d31702ac85,Deut 7:1-26,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5121; source_ref=Deut 7:1-26
missing or inferred bridge_basis,deuteronomy-8-remembering-the-lord-in-the-land-of-plenty,rid_0081650c21f311321b1f,Deut 8:19-9:24,good-friday,Good Friday,missing,,Pascha / Holy Week,First Hour,First Hour,OT1,out/data/pascha_day_hour_index.csv:row 124; source_ref=Deut 8:19-9:24
no source for link,deuteronomy-8-remembering-the-lord-in-the-land-of-plenty,rid_0081650c21f311321b1f,Deut 8:19-9:24,good-friday,Good Friday,missing,,Pascha / Holy Week,First Hour,First Hour,OT1,out/data/pascha_day_hour_index.csv:row 124; source_ref=Deut 8:19-9:24
missing or inferred bridge_basis,deuteronomy-8-remembering-the-lord-in-the-land-of-plenty,rid_4cb85af8725a70ba58e7,Deut 8:11-20,tuesday,Tuesday,missing,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 4997; source_ref=Deut 8:11-20
no source for link,deuteronomy-8-remembering-the-lord-in-the-land-of-plenty,rid_4cb85af8725a70ba58e7,Deut 8:11-20,tuesday,Tuesday,missing,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 4997; source_ref=Deut 8:11-20
missing or inferred bridge_basis,deuteronomy-8-remembering-the-lord-in-the-land-of-plenty,rid_76e296101ecb47e9bd50,Deut 8:1-20,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5191; source_ref=Deut 8:1-20
missing or inferred bridge_basis,deuteronomy-9-10-stubbornness-intercession-and-the-circumcised-heart,rid_0081650c21f311321b1f,Deut 8:19-9:24,good-friday,Good Friday,missing,,Pascha / Holy Week,First Hour,First Hour,OT1,out/data/pascha_day_hour_index.csv:row 124; source_ref=Deut 8:19-9:24
no source for link,deuteronomy-9-10-stubbornness-intercession-and-the-circumcised-heart,rid_0081650c21f311321b1f,Deut 8:19-9:24,good-friday,Good Friday,missing,,Pascha / Holy Week,First Hour,First Hour,OT1,out/data/pascha_day_hour_index.csv:row 124; source_ref=Deut 8:19-9:24
missing or inferred bridge_basis,deuteronomy-9-10-stubbornness-intercession-and-the-circumcised-heart,rid_313e713f35e72fa5dde0,Deut 9:1-4,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5192; source_ref=Deut 9:1-4
missing or inferred bridge_basis,deuteronomy-9-10-stubbornness-intercession-and-the-circumcised-heart,rid_59874404fceeca3c586b,Deut 10:12-22,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5353; source_ref=Deut 10:12-22
missing or inferred bridge_basis,deuteronomy-9-10-stubbornness-intercession-and-the-circumcised-heart,rid_cf9d67f7ed02f97e5257,Deut 9:7-29,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5270; source_ref=Deut 9:7-29
missing or inferred bridge_basis,deuteronomy-9-10-stubbornness-intercession-and-the-circumcised-heart,rid_ef69533e9d38eeed9bb7,Deut 10:1-11,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5271; source_ref=Deut 10:1-11
missing or inferred bridge_basis,exodus-11-the-final-plague-announced,rid_73ae3759a173021657df,Exod 11:1-10,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5505; source_ref=Exod 11:1-10
missing or inferred bridge_basis,exodus-12-passover-blood-and-the-exodus,rid_dd697f19c7c258dea773,Exod 12:1-14,good-friday,Good Friday,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 16178; source_ref=Exod 12:1-14
no source for link,exodus-12-passover-blood-and-the-exodus,rid_dd697f19c7c258dea773,Exod 12:1-14,good-friday,Good Friday,missing,,Pascha / Holy Week,Eleventh Hour,Eleventh Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 16178; source_ref=Exod 12:1-14
missing or inferred bridge_basis,exodus-13-consecration-unleavened-bread-and-the-cloud,rid_3a7b3b128117ad907040,Exod 13:17-22,wednesday,Wednesday,missing,,Pascha / Holy Week,Third Hour,Third Hour,OT1,out/data/pascha_day_hour_index.csv:row 62; source_ref=Exod 13:17-22
no source for link,exodus-13-consecration-unleavened-bread-and-the-cloud,rid_3a7b3b128117ad907040,Exod 13:17-22,wednesday,Wednesday,missing,,Pascha / Holy Week,Third Hour,Third Hour,OT1,out/data/pascha_day_hour_index.csv:row 62; source_ref=Exod 13:17-22
missing or inferred bridge_basis,exodus-13-consecration-unleavened-bread-and-the-cloud,rid_3a7b3b128117ad907040,Exod 13:17-22,wednesday-of-holy-pascha,Wednesday of Holy Pascha,missing,,Pascha / Holy Week,Third Hour,Third Hour,prophecy,out/data/pascha_day_hour_index.csv:row 62; source_ref=Exod 13:17-22
no source for link,exodus-13-consecration-unleavened-bread-and-the-cloud,rid_3a7b3b128117ad907040,Exod 13:17-22,wednesday-of-holy-pascha,Wednesday of Holy Pascha,missing,,Pascha / Holy Week,Third Hour,Third Hour,prophecy,out/data/pascha_day_hour_index.csv:row 62; source_ref=Exod 13:17-22
missing or inferred bridge_basis,exodus-13-consecration-unleavened-bread-and-the-pillar,rid_3a7b3b128117ad907040,Exod 13:17-22,wednesday,Wednesday,missing,,Pascha / Holy Week,Third Hour,Third Hour,OT1,out/data/pascha_day_hour_index.csv:row 62; source_ref=Exod 13:17-22
no source for link,exodus-13-consecration-unleavened-bread-and-the-pillar,rid_3a7b3b128117ad907040,Exod 13:17-22,wednesday,Wednesday,missing,,Pascha / Holy Week,Third Hour,Third Hour,OT1,out/data/pascha_day_hour_index.csv:row 62; source_ref=Exod 13:17-22
missing or inferred bridge_basis,exodus-13-consecration-unleavened-bread-and-the-pillar,rid_3a7b3b128117ad907040,Exod 13:17-22,wednesday-of-holy-pascha,Wednesday of Holy Pascha,missing,,Pascha / Holy Week,Third Hour,Third Hour,prophecy,out/data/pascha_day_hour_index.csv:row 62; source_ref=Exod 13:17-22
no source for link,exodus-13-consecration-unleavened-bread-and-the-pillar,rid_3a7b3b128117ad907040,Exod 13:17-22,wednesday-of-holy-pascha,Wednesday of Holy Pascha,missing,,Pascha / Holy Week,Third Hour,Third Hour,prophecy,out/data/pascha_day_hour_index.csv:row 62; source_ref=Exod 13:17-22
missing or inferred bridge_basis,exodus-14-15-the-red-sea-crossing-and-the-song-of-moses,rid_5d8c3d9ac563f4f03e39,Exod 15:23-16:3,great-thursday,Great Thursday,missing,,Pascha / Holy Week,First Hour,First Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 9373; source_ref=Exod 15:23-16:3
no source for link,exodus-14-15-the-red-sea-crossing-and-the-song-of-moses,rid_5d8c3d9ac563f4f03e39,Exod 15:23-16:3,great-thursday,Great Thursday,missing,,Pascha / Holy Week,First Hour,First Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 9373; source_ref=Exod 15:23-16:3
missing or inferred bridge_basis,exodus-14-15-the-red-sea-crossing-and-the-song-of-moses,rid_7397ed77b1c667a984cd,Exod 15:22-16:3,great-thursday,Great Thursday,missing,,Pascha / Holy Week,First Hour,First Hour,OT2,out/data/pascha_day_hour_index.csv:row 89; source_ref=Exod 15:22-16:3
no source for link,exodus-14-15-the-red-sea-crossing-and-the-song-of-moses,rid_7397ed77b1c667a984cd,Exod 15:22-16:3,great-thursday,Great Thursday,missing,,Pascha / Holy Week,First Hour,First Hour,OT2,out/data/pascha_day_hour_index.csv:row 89; source_ref=Exod 15:22-16:3
missing or inferred bridge_basis,exodus-14-15-the-red-sea-crossing-and-the-song-of-moses,rid_ffbd3a8ab8e47edbca9d,Exod 14:13-15:1,wednesday,Wednesday,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,OT1,out/data/pascha_day_hour_index.csv:row 66; source_ref=Exod 14:13-15:1
no source for link,exodus-14-15-the-red-sea-crossing-and-the-song-of-moses,rid_ffbd3a8ab8e47edbca9d,Exod 14:13-15:1,wednesday,Wednesday,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,OT1,out/data/pascha_day_hour_index.csv:row 66; source_ref=Exod 14:13-15:1
missing or inferred bridge_basis,exodus-14-15-the-red-sea-crossing-and-the-song-of-moses,rid_ffbd3a8ab8e47edbca9d,Exod 14:13-15:1,wednesday-of-holy-pascha,Wednesday of Holy Pascha,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,prophecy,out/data/pascha_day_hour_index.csv:row 66; source_ref=Exod 14:13-15:1
no source for link,exodus-14-15-the-red-sea-crossing-and-the-song-of-moses,rid_ffbd3a8ab8e47edbca9d,Exod 14:13-15:1,wednesday-of-holy-pascha,Wednesday of Holy Pascha,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,prophecy,out/data/pascha_day_hour_index.csv:row 66; source_ref=Exod 14:13-15:1
missing or inferred bridge_basis,exodus-14-the-red-sea-crossing,rid_ffbd3a8ab8e47edbca9d,Exod 14:13-15:1,wednesday,Wednesday,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,OT1,out/data/pascha_day_hour_index.csv:row 66; source_ref=Exod 14:13-15:1
no source for link,exodus-14-the-red-sea-crossing,rid_ffbd3a8ab8e47edbca9d,Exod 14:13-15:1,wednesday,Wednesday,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,OT1,out/data/pascha_day_hour_index.csv:row 66; source_ref=Exod 14:13-15:1
missing or inferred bridge_basis,exodus-14-the-red-sea-crossing,rid_ffbd3a8ab8e47edbca9d,Exod 14:13-15:1,wednesday-of-holy-pascha,Wednesday of Holy Pascha,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,prophecy,out/data/pascha_day_hour_index.csv:row 66; source_ref=Exod 14:13-15:1
no source for link,exodus-14-the-red-sea-crossing,rid_ffbd3a8ab8e47edbca9d,Exod 14:13-15:1,wednesday-of-holy-pascha,Wednesday of Holy Pascha,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,prophecy,out/data/pascha_day_hour_index.csv:row 66; source_ref=Exod 14:13-15:1
missing or inferred bridge_basis,exodus-15-song-of-moses-and-bitter-waters,rid_5d8c3d9ac563f4f03e39,Exod 15:23-16:3,great-thursday,Great Thursday,missing,,Pascha / Holy Week,First Hour,First Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 9373; source_ref=Exod 15:23-16:3
no source for link,exodus-15-song-of-moses-and-bitter-waters,rid_5d8c3d9ac563f4f03e39,Exod 15:23-16:3,great-thursday,Great Thursday,missing,,Pascha / Holy Week,First Hour,First Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 9373; source_ref=Exod 15:23-16:3
missing or inferred bridge_basis,exodus-15-song-of-moses-and-bitter-waters,rid_7397ed77b1c667a984cd,Exod 15:22-16:3,great-thursday,Great Thursday,missing,,Pascha / Holy Week,First Hour,First Hour,OT2,out/data/pascha_day_hour_index.csv:row 89; source_ref=Exod 15:22-16:3
no source for link,exodus-15-song-of-moses-and-bitter-waters,rid_7397ed77b1c667a984cd,Exod 15:22-16:3,great-thursday,Great Thursday,missing,,Pascha / Holy Week,First Hour,First Hour,OT2,out/data/pascha_day_hour_index.csv:row 89; source_ref=Exod 15:22-16:3
missing or inferred bridge_basis,exodus-15-song-of-moses-and-bitter-waters,rid_ffbd3a8ab8e47edbca9d,Exod 14:13-15:1,wednesday,Wednesday,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,OT1,out/data/pascha_day_hour_index.csv:row 66; source_ref=Exod 14:13-15:1
no source for link,exodus-15-song-of-moses-and-bitter-waters,rid_ffbd3a8ab8e47edbca9d,Exod 14:13-15:1,wednesday,Wednesday,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,OT1,out/data/pascha_day_hour_index.csv:row 66; source_ref=Exod 14:13-15:1
missing or inferred bridge_basis,exodus-15-song-of-moses-and-bitter-waters,rid_ffbd3a8ab8e47edbca9d,Exod 14:13-15:1,wednesday-of-holy-pascha,Wednesday of Holy Pascha,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,prophecy,out/data/pascha_day_hour_index.csv:row 66; source_ref=Exod 14:13-15:1
no source for link,exodus-15-song-of-moses-and-bitter-waters,rid_ffbd3a8ab8e47edbca9d,Exod 14:13-15:1,wednesday-of-holy-pascha,Wednesday of Holy Pascha,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,prophecy,out/data/pascha_day_hour_index.csv:row 66; source_ref=Exod 14:13-15:1
missing or inferred bridge_basis,exodus-16-manna-bread-from-heaven,rid_5d8c3d9ac563f4f03e39,Exod 15:23-16:3,great-thursday,Great Thursday,missing,,Pascha / Holy Week,First Hour,First Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 9373; source_ref=Exod 15:23-16:3
no source for link,exodus-16-manna-bread-from-heaven,rid_5d8c3d9ac563f4f03e39,Exod 15:23-16:3,great-thursday,Great Thursday,missing,,Pascha / Holy Week,First Hour,First Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 9373; source_ref=Exod 15:23-16:3
